id_corretor,sk_house,id_visita,dt_visita,hr_visita,price,predicted_price_70,partner_3p_supply,house_address,house_zipcode,house_neighborhood,house_city,house_lat,house_lng,floor,house_bathrooms,house_bedrooms,house_suites,house_garages,house_type,house_total_area,sk_condo,name,days_published,os,vb,last_price_down,previous_price_variation,date,monday_status,sale_price_agreed
30918,894815227,32191947,2025-06-14,13:00,475000,398373,,Rua Apucarana,03311-000,Tatuapé,São Paulo,-23.5391843,-46.5653633,475000,1,2,0,1,Apartamento,48,92262,894815227-833.761694324579121152271.jpg,95,1,9,,,2025-06-10,Propostas Ongoing,440000
30918,894815227,32126446,2025-06-09,20:15,475000,398373,,Rua Apucarana,03311-000,Tatuapé,São Paulo,-23.5391843,-46.5653633,475000,1,2,0,1,Apartamento,48,92262,894815227-833.761694324579121152271.jpg,95,1,9,,,2025-06-10,Propostas Ongoing,440000
30918,892786260,32131913,2025-06-10,15:30,645000,601322,,Marquês de Paranagua,01303-300,Consolação,São Paulo,-23.5487756,-46.6505448,680000,1,2,0,1,Apartamento,67,16671,892786260-61.01869611432831DSC0002cpia.jpg,481,0,3,2025-05-23,-0.0301,,,
30918,894337319,32078907,2025-06-07,14:00,980000,958781,,Alameda Barão de Limeira,01202-002,Campos Elíseos,São Paulo,-23.5300218,-46.6507337,1200000,3,3,0,1,Apartamento,130,15934,894337319-153.45853174810165MG0876.JPG,77,1,6,2025-04-06,-0.1833,2025-05-18,Canceladas em negociação,800000
30918,894904813,32126454,2025-06-09,20:45,490000,443166,,Rua Vilela,03314-000,Tatuapé,São Paulo,-23.5393476,-46.5662009,445000,1,2,0,1,Apartamento,48,,894904813-802.890358180775622048131.jpg,34,0,2,,,,,
29536,894729618,32047075,2025-06-05,11:30,729000,704252,,Rua Rodolfo Belz,05639-010,Jardim Lar Sao Paulo,São Paulo,-23.6084159,-46.7415326,860000,2,2,2,2,Apartamento,86,,894729618-901.6234095787629IMG6574.JPG,147,0,5,2025-05-15,-0.0395,,,
29536,893538434,32049204,2025-06-05,14:45,835000,799726,,Rua Rodolfo Belz,05639-010,Lar São Paulo,São Paulo,-23.6087464,-46.7422236,870000,2,2,1,2,Apartamento,89,235520,893538434-807.612889070775644.jpg,1230,1,12,2025-05-14,-0.0292,2022-02-09,Canceladas em negociação,830000
29536,893538434,32007211,2025-06-05,12:00,835000,799726,,Rua Rodolfo Belz,05639-010,Lar São Paulo,São Paulo,-23.6087464,-46.7422236,870000,2,2,1,2,Apartamento,89,235520,893538434-807.612889070775644.jpg,1230,1,12,2025-05-14,-0.0292,2022-02-09,Canceladas em negociação,830000
32144,894646993,32174774,2025-06-14,14:00,600000,613475,,Rua Tacacazeiro,03577-030,Jardim Eliane,São Paulo,-23.5503771,-46.5019408,745000,2,3,0,2,Casa,150,523659,894646993-934.9283077280573DSCF7081.jpg,238,0,1,2025-06-06,-0.0323,,,
32144,893943348,32174897,2025-06-14,15:00,599000,565254,,Rua Isaura Vergueiro Naufel,03560-020,Vila Nhocune,São Paulo,-23.5469689,-46.500621,595000,3,3,3,2,Casa,165,358432,893943348-375.1752335408012012.JPG,864,2,17,2025-02-06,-0.0477,2023-06-04,Canceladas em negociação,550000
32316,894923071,32051075,2025-06-07,13:15,580000,581688,,Rua Joséfina de Almeida,09710-170,Centro,São Bernardo do Campo,-23.7084188,-46.5483588,580000,3,3,1,2,Apartamento,104,36069,894923071-215.83407380971565josefina1a.JPG,20,0,2,,,,,
32316,894923071,32025730,2025-06-04,20:15,580000,581688,,Rua Joséfina de Almeida,09710-170,Centro,São Bernardo do Campo,-23.7084188,-46.5483588,580000,3,3,1,2,Apartamento,104,36069,894923071-215.83407380971565josefina1a.JPG,20,0,2,,,,,
32316,894722146,32070221,2025-06-06,13:00,430000,418539,,Rua Coimbra,09195-570,Vila Pires,Santo André,-23.6837422,-46.5094028,463000,2,2,2,1,CasaCondominio,89,,894722146-793.7155387791062REN5156.jpg,172,0,5,2025-05-19,-0.0035,,,
32316,894861928,32050917,2025-06-07,12:30,650000,570585,,Rua Maria Adelaide Rossi,09726-090,Centro,São Bernardo do Campo,-23.6917477,-46.5628585,650000,3,3,1,2,Apartamento,104,,894861928-145.66794888732426EDU0113.jpg,70,0,6,,,,,
32316,894849701,32064912,2025-06-05,16:45,498000,385452,,Avenida Wallace Simonsen,09771-211,Nova Petrópolis,São Bernardo do Campo,-23.7079489,-46.5357631,500000,2,2,1,2,CasaCondominio,78,,894849701-29.287645628366388EDU0152.jpg,78,0,10,2025-04-23,-0.033,,,
32316,894722143,32070238,2025-06-06,13:30,510000,475196,,Rua Coimbra,09195-570,Vila Pires,Santo André,-23.6837422,-46.5094028,538000,2,2,2,1,CasaCondominio,103,,894722143-823.0287372968453REN5057.jpg,172,0,2,2025-05-19,-0.0045,,,
32316,894765749,32162788,2025-06-11,15:00,550000,523914,,Rua Miryam Dora Rossi,09726-270,Jardim do Mar,São Bernardo do Campo,-23.6912941,-46.5618234,550000,3,4,1,1,Apartamento,98,,894765749-628.9573270650512IMG1819.jpeg,127,2,19,,,2025-06-11,Propostas Ongoing,525000
32316,894552980,32064850,2025-06-05,16:15,430000,329582,,Avenida Wallace Simonsen,09771-211,Nova Petrópolis,São Bernardo do Campo,-23.7079489,-46.5357631,440000,2,2,0,2,CasaCondominio,68,,894552980-599.8257771964718115225.jpg,328,0,22,2024-12-01,-0.0652,,,
32351,894649410,31947372,2025-06-03,13:30,500000,517758,,Rua Paris,01257-040,Sumaré,São Paulo,-23.5417712,-46.6871132,490000,1,2,0,1,Apartamento,54,,894649410-959.6769850097157DSCF3568copy.jpg,244,0,16,2025-05-27,-0.0385,,,
32351,894768274,32173403,2025-06-13,18:15,3400000,3435992,,Rua Álvaro Luís Roberto de Assumpção,04618-020,Campo Belo,São Paulo,-23.6178977,-46.6788314,3800000,5,4,4,7,Apartamento,275,548507,894768274-749.5667617076969Sala5.jpg,122,0,4,2025-05-01,-0.2895,,,
32351,894719714,32048222,2025-06-05,16:15,530000,528994,,Rua Cotoxó,05021-001,Pompeia,São Paulo,-23.5356055,-46.6875331,530000,1,2,0,0,Apartamento,60,8107,894719714-278.64694196065781000230744.jpg,11,0,1,,,,,
32351,894320297,32079568,2025-06-06,12:30,840000,685122,,Rua Maurício de Castilho,04264-020,Vila Monumento,São Paulo,-23.5850331,-46.6150189,880000,2,3,0,2,Casa,140,,894320297-239.53514200540303IMG7746.jpg,564,0,6,2024-07-19,-0.0309,,,
32351,894787088,32075186,2025-06-07,17:00,2300000,2185048,,Rua Oliveira Alves,04210-060,Ipiranga,São Paulo,-23.58583,-46.6052587,2300000,4,5,2,6,Casa,400,552183,894787088-398.5804052322525IMG0697.jpg,110,0,1,,,,,
32351,893162253,32018411,2025-06-03,16:00,499000,597802,,Rua Natingui,05443-000,Vila Madalena,São Paulo,-23.5521558,-46.6958126,700000,2,2,1,0,Apartamento,69,9141,893162253-445.4924302979514a1.jpg,1717,0,22,2025-02-17,-0.2871,,,
32351,893228830,32047125,2025-06-05,12:00,530000,540168,,Rua Padre Agostinho Mendicute,01257-090,Sumaré,São Paulo,-23.5437755,-46.6897533,545000,1,2,0,1,Apartamento,60,36239,893228830-126.42611298917839DSCF1100copy.jpg,475,1,16,2025-06-04,-0.0185,2025-06-05,Propostas Ongoing,480000
32351,894684660,32048145,2025-06-05,15:00,485000,476769,,Avenida Professor Alfonso Bovero,05019-010,Pompeia,São Paulo,-23.5365779,-46.6857344,520000,2,2,0,0,Apartamento,61,,894684660-765.1623647859376IMG2796.jpeg,204,0,11,2025-04-12,-0.0102,,,
32351,893266495,31978714,2025-06-05,19:00,245000,235114,,Rua Vinte E Quatro de Maio,01041-001,República,São Paulo,-23.5436233,-46.6401013,285000,1,1,0,0,Apartamento,45,,893266495-379.8074714090964IMG7835.jpg,1558,0,29,2025-01-20,-0.02,,,
32351,893389520,32000492,2025-06-03,14:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32351,894681397,32020261,2025-06-03,17:00,590000,524648,LopesMatriz,Rua Cardeal Arcoverde,05408-002,Pinheiros,São Paulo,-23.562582,-46.6900752,590000,2,2,0,1,Apartamento,78,,894681397-182.5371823533187439cca408-a89c-4c3a-abf0-e2cd37f890ca-LEAD3P-56423812-45a2-4da6-a1f6-7958b431dad3.JPG,218,0,26,,,,,
32351,894590922,32060118,2025-06-05,20:30,424000,408735,,Rua Iperoig,05016-000,Perdizes,São Paulo,-23.5401218,-46.6791452,424000,1,2,0,0,Apartamento,72,,894590922-50.85081353432952DSCF6275copy.jpg,302,2,32,,,2025-01-07,Canceladas pós Aceite,400000
32351,894899226,32047993,2025-06-05,14:15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
32351,893933668,32020100,2025-06-03,16:30,550000,543988,,Rua Amália de Noronha,05410-010,Pinheiros,São Paulo,-23.5526919,-46.6812106,550000,1,2,0,0,Apartamento,70,22022,893933668-515.7839705184514MG5243.jpg,742,0,34,2024-10-03,-0.0189,,,
32351,892921730,31947535,2025-06-03,15:15,520000,442358,,Avenida Heitor Penteado,05438-100,Sumarezinho,São Paulo,-23.5462874,-46.6908079,520000,1,2,0,1,Apartamento,45,86186,892921730-584.8620756625161DSC0006.jpg,757,1,44,,,2025-06-09,Propostas Ongoing,416000
32351,894360684,32018383,2025-06-03,14:45,500000,474864,,Rua Capital Federal,01259-010,Sumaré,São Paulo,-23.54131,-46.6840972,620000,1,2,0,0,Apartamento,70,107921,894360684-18.07089826483099420240110181.jpg,519,0,42,2024-10-21,-0.03,,,
32351,894846300,32047731,2025-06-05,13:45,540000,453953,,Rua Simão Álvares,05417-020,Pinheiros,São Paulo,-23.5614277,-46.6903517,510000,1,2,0,0,Apartamento,54,20706,894846300-688.0443536116667IMG2488.jpeg,67,0,12,2025-05-21,-0.027,,,
28910,894903217,32005711,2025-06-03,15:30,650000,576702,,Rua Major Quedinho,01050-030,Centro Histórico de São Paulo,São Paulo,-23.5487563,-46.6453498,680000,1,1,1,1,Apartamento,47,255391,894903217-764.607091317897122032172.jpg,35,0,1,2025-05-31,-0.0152,,,
28910,894631038,32201438,2025-06-17,16:00,365000,390336,,Rua Antonieta de Morais,03517-000,Vila Matilde,São Paulo,-23.5432296,-46.5279775,375000,1,3,0,1,Apartamento,69,,894631038-233.2709358276085DSC4694.jpg,258,5,49,2025-04-23,-0.0274,2025-05-01,Canceladas pós Aceite,350000
28910,894728221,31985219,2025-06-03,15:00,670000,606973,,Rua Santo Antônio,01314-000,Bela Vista,São Paulo,-23.5516462,-46.6453984,720000,1,1,0,0,StudioOuKitchenette,54,67144,894728221-594.6648402320792DSC05877.jpg,160,0,8,2025-04-28,-0.029,,,
28910,892837142,32006381,2025-06-03,16:00,600000,601877,,Rua Major Quedinho,01050-030,Centro,São Paulo,-23.5496911,-46.6437583,600000,2,1,1,1,Apartamento,46,18674,892837142-732.4909506265554MG3840.JPG,67,0,1,,,,,
28910,894211441,32189503,2025-06-16,14:00,595000,809097,,Rua Barata Ribeiro,01308-000,Bela Vista,São Paulo,-23.5556929,-46.6508845,1100000,2,2,1,1,Apartamento,63,43004,894211441-533.0245245837029221.jpg,613,3,33,2025-01-21,-0.0246,2025-05-28,Canceladas em negociação,540000
