id_corretor,sk_house,id_visita,dt_visita,hr_visita,price,predicted_price_70,partner_3p_supply,house_address,house_zipcode,house_neighborhood,house_city,house_lat,house_lng,first_price,house_bathrooms,house_bedrooms,house_suites,house_garages,house_type,house_total_area,sk_condo,name,days_published,os,vb,last_price_down,previous_price_variation,date,monday_status,sale_price_agreed,similar listing 1,similar listing 2,similar listing 3,similar listing 4,similar listing 5,similar listing 6,similar listing 7,similar listing 8,similar listing 9,similar listing info 1,similar listing info 2,similar listing info 3,similar listing info 4,similar listing info 5,similar listing info 6,similar listing info 7,similar listing info 8,similar listing info 9
32903,894845484,32155310,6/11/2025,13:30,780000,627835,,Rua Desembargador Andrade Pinto,03451-040,Parque Maria Luiza,São Paulo,-23.5587972,-46.5197123,780000,2,3,1,2,Apartamento,84,51251,894845484-796.3594995180733DSC1186.jpg,91,1,1,,,45820,Propostas Ongoing,650000,0,0,0,0,0,0,0,0,0,,,,,,,,,
18171,894895517,32216556,6/14/2025,12:15,325000,340177,SantaSales,Rua Dias Vieira,05632-091,Jardim Monte Kemel,São Paulo,-23.5965672,-46.7328002,380000,1,2,0,0,Apartamento,31,,894895517-219.744771799268881fd6128a-0d6c-4f1c-a89b-db1b26751ee1-LEAD3P-48fd757b-e8f2-41a1-a92d-880e5acfd7e2.jpg,49,0,4,5/23/2025,-0.1447,,,,894414117,894742947,894669385,0,0,0,0,0,0,"2. Mesma rua / 894414117-252.67582412775002IMG7211.jpg / 35 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Dias Vieira, Jardim Monte Kemel - São Paulo / 270000 / Super preço /  / Muitas visitas","2. Mesma rua / 894742947-833.266403732741.jpg / 31 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Dias Vieira, Jardim Monte Kemel - São Paulo / 355000 /  /  / Muitas visitas","2. Mesma rua / 894669385-261.602514933833773f92c48-1531-465b-9937-ec454dfbb3e2-LEAD3P-a3a7847c-77fa-4852-a00d-758a90918cbf.jpeg / 31 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Dias Vieira, Jardim Monte Kemel - São Paulo / 340000 /  /  / ",,,,,,
29981,893228308,32194758,6/12/2025,14:15,500000,479967,,Rua Soares de Avellar,04306-020,Vila Monte Alegre,São Paulo,-23.6298776,-46.6403083,430000,2,2,0,1,Apartamento,65,18982,893228308-913.3954594328928QuintoAndar.JPG,1612,,,6/12/2025,-0.1304,45820,Canceladas pós Aceite,420000,893623020,894182647,894274527,893529409,892944834,893243803,894681016,893477364,893929134,"2. Mesma rua / 893623020-744.714419047512720230303140030IMG1369.JPG / 64 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Soares de Avelar, Vila Monte Alegre - São Paulo / 460000 / Super preço /  / Muitas visitas","2. Mesma rua / 894182647-534.6487379889923DSC05858.jpg / 72 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Soares de Avellar, Vila Monte Alegre - São Paulo / 450000 / Super preço /  / ","2. Mesma rua / 894274527-389.5543647308355d874294e-210d-48a1-9c73-323761124393-LEAD3P-a8574dd2-47f0-48e1-8e17-75e6de595c74. / 56 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Soares de Avellar, Vila Monte Alegre - São Paulo / 426000 /  /  / ","3. Menos de 500m / 893529409-641.5987453514796DSC0859.JPG / 56 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Major Freire, Vila Monte Alegre - São Paulo / 490000 /  /  / Muitas visitas","4. Menos de 1500m / 892944834-163.19693367926791MG0042.JPG / 70 m² | 3quarto(s) | 2 ban. | 1 vaga(s) / Rua Major Freire, Vila Monte Alegre - São Paulo / 440000 /  / Redução recente / Muitas visitas","4. Menos de 1500m / 893243803-223.48555694713091SALA.jpg / 72 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Avenida Fagundes Filho, Vila Monte Alegre - São Paulo / 459000 / Super preço /  / ","4. Menos de 1500m / 894681016-127.55856304590685IMG5785.jpeg / 67 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Major Freire, Vila Monte Alegre - São Paulo / 420000 / Super preço /  / Muitas visitas","4. Menos de 1500m / 893477364-410.127985022003295A5444.jpg / 74 m² | 3quarto(s) | 2 ban. | 2 vaga(s) / Rua Ararapirá, Vila Monte Alegre - São Paulo / 555000 / Super preço /  / Muitas visitas","4. Menos de 1500m / 893929134-21.84610485892047580378c0-fc9f-469d-89d7-ca5b7981d6b7-LEAD3P-6c053fe4-c571-4fbb-b8bd-aebc87450fa3. / 57 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Avenida Fagundes Filho, Vila Monte Alegre - São Paulo / 560000 /  /  / Muitas visitas"
20820,894516364,32239484,6/16/2025,14:45,900000,1103370,,Rua Oscar Freire,05409-010,Pinheiros,São Paulo,-23.5587385,-46.6734839,1300000,3,2,1,1,Apartamento,107,,894516364-495.5469814176324EOSR6201.jpg,366,,,4/16/2025,-0.1,45824,Propostas Ongoing,790000,894642338,894677043,894701695,894931569,894545838,894600251,894600254,894890716,0,"4. Menos de 1500m / 894642338-729.0095723802758EOSR6303.JPG / 110 m² | 2quarto(s) | 3 ban. | 1 vaga(s) / Rua Henrique Schaumann, Pinheiros - São Paulo / 980000 /  /  / ","4. Menos de 1500m / 894677043-2.7631658301939811e2b384c-19f6-418f-83be-9306eed7a898-LEAD3P-c7808921-2478-431f-8eef-7552185f1f84.JPG / 116 m² | 4quarto(s) | 4 ban. | 1 vaga(s) / Rua Fradique Coutinho, Pinheiros - São Paulo / 873500 / Super preço /  / ","4. Menos de 1500m / 894701695-744.1515845328029EEML6115.jpg / 120 m² | 3quarto(s) | 3 ban. | 1 vaga(s) / Avenida Rebouças, Pinheiros - São Paulo / 860000 / Super preço /  / ","4. Menos de 1500m / 894931569-293.389361484921949c2ddc4-62c1-4080-93ea-8d87b7f64db6-LEAD3P-cc47d0a5-f8c2-45e4-91b4-095c2fa62e90.JPG / 116 m² | 3quarto(s) | 3 ban. | 1 vaga(s) / Rua Fradique Coutinho, Pinheiros - São Paulo / 962000 / Super preço /  / ","4. Menos de 1500m / 894545838-953.501627965223b6790a66-3ee1-4a4e-9545-bf348c137f3a-LEAD3P-30f68ede-ccef-466c-9e7c-590f113aec52.jpeg / 100 m² | 2quarto(s) | 3 ban. | 2 vaga(s) / Rua Fradique Coutinho, Pinheiros - São Paulo / 990000 /  /  / ","4. Menos de 1500m / 894600251-902.0454208998817QuartoASuite1.jpg / 100 m² | 4quarto(s) | 4 ban. | 1 vaga(s) / Rua Fradique Coutinho, Pinheiros - São Paulo / 873500 / Super preço /  / Muitas visitas","4. Menos de 1500m / 894600254-556.9949761417301Dormitrios49.jpg / 121 m² | 4quarto(s) | 4 ban. | 1 vaga(s) / Rua Fradique Coutinho, Pinheiros - São Paulo / 962000 / Super preço /  / Muitas visitas","4. Menos de 1500m / 894890716-485.9769631807971IMG1973.jpg / 104 m² | 3quarto(s) | 3 ban. | 1 vaga(s) / Rua Mourato Coelho, Pinheiros - São Paulo / 997000 / Super preço /  / ",
32406,894554172,32268768,6/18/2025,13:30,830000,850593,,Rua Silva Correia,04537-040,Vila Nova Conceição,São Paulo,-23.5942766,-46.6776563,950000,1,2,0,1,Apartamento,70,77020,894554172-508.2082767266203IMG7279.jpg,336,2,11,4/28/2025,-0.0311,45796,Canceladas em negociação,664000,894019764,894822221,894858004,894860129,894928316,894960926,893738172,893894227,894644371,"3. Menos de 500m / 894019764-52.228222451374591C359FBD049248B88C5E2C73BCB3C785.jpeg / 75 m² | 3quarto(s) | 2 ban. | 1 vaga(s) / Rua Comendador Miguel Calfat, Vila Nova Conceição - São Paulo / 930000 / Super preço / Redução recente / Muitas visitas","3. Menos de 500m / 894822221-519.263918147876353c26aee-d10a-4afe-8b57-444dab071f20-LEAD3P-cbde36db-7704-4d21-9f7b-e877d48427eb.jpg / 79 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Comendador Miguel Calfat, Vila Nova Conceição - São Paulo / 750000 / Super preço /  / Muitas visitas","3. Menos de 500m / 894858004-316.91113983566623MG2889.JPG / 68 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Comendador Miguel Calfat, Vila Nova Conceição - São Paulo / 770000 / Super preço /  / Muitas visitas","3. Menos de 500m / 894860129-167.991066646265845182cdee-59ab-4048-a01c-7e2511cf10c1-LEAD3P-02097ad7-6c26-48d8-a375-f6025c5c94ff.jpg / 80 m² | 2quarto(s) | 3 ban. | 2 vaga(s) / Rua Visconde da Luz, Vila Nova Conceição - São Paulo / 932000 / Super preço /  / ","3. Menos de 500m / 894928316-83.3665998074396604eff78d-5c54-456e-b75e-2b771ce0d340-LEAD3P-0c24c378-a36c-4434-8780-fdc48f198486.jpg / 79 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Comendador Miguel Calfat, Vila Nova Conceição - São Paulo / 745000 / Super preço /  / ","3. Menos de 500m / 894960926-150.713272160724056d68f7c3-0a13-49c2-86ea-7a84e8b46f03-LEAD3P-e001c20a-0701-46af-9e0e-8c036720c4ae.jpg / 80 m² | 2quarto(s) | 2 ban. | 2 vaga(s) / Rua Visconde da Luz, Vila Nova Conceição - São Paulo / 940000 /  /  / ","3. Menos de 500m / 893738172-999.18521452923271E204911D3EA473E8EA5CD78EDB72904.jpeg / 72 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Clodomiro Amazonas, Vila Nova Conceição - São Paulo / 755000 / Super preço / Redução recente / Muitas visitas","3. Menos de 500m / 893894227-10.7115835717988IMG4598.JPG / 80 m² | 2quarto(s) | 3 ban. | 2 vaga(s) / Rua Visconde da Luz, Vila Nova Conceição - São Paulo / 938000 / Super preço /  / Muitas visitas","3. Menos de 500m / 894644371-339.6862982592701RuaComendadorMiguelCalfat233724.jpg / 70 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Comendador Miguel Calfat, Vila Nova Conceição - São Paulo / 750000 /  /  / "
31881,893211494,32300897,6/20/2025,14:00,480000,457279,,Rua Luís Correia de Melo,04726-220,Vila Cruzeiro,São Paulo,-23.6334513,-46.7149602,550000,1,1,0,1,Apartamento,38,69978,893211494-255.1882475683260315042024JG1de131.jpg,87,1,11,5/29/2025,-0.1273,45750,Canceladas pós Aceite,520000,893277550,0,0,0,0,0,0,0,0,"4. Menos de 1500m / 893277550-178.9108214978433357755003.jpg / 43 m² | 1quarto(s) | 1 ban. | 1 vaga(s) / Rua Adis-abeba, Vila Cruzeiro - São Paulo / 390000 /  /  / ",,,,,,,,
32329,894891934,32308728,6/19/2025,18:30,460000,402993,,Rua Amaral Gurgel,01221-000,Vila Buarque,São Paulo,-23.5463953,-46.6480812,400000,1,2,0,0,Apartamento,68,,894891934-819.0509887615069MG2041.jpg,39,0,2,,,,,,894816101,893309090,893727542,893792466,894401577,894555298,892890516,893477727,894368283,"3. Menos de 500m / 894816101-141.303737107343IMG20250312162433HDR.jpg / 73 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Amaral Gurgel, Vila Buarque - São Paulo / 460000 /  /  / ","3. Menos de 500m / 893309090-789.7448085918717SITE5109.jpg / 60 m² | 2quarto(s) | 2 ban. | 0 vaga(s) / Rua Major Sertório, Vila Buarque - São Paulo / 500000 /  /  / ","3. Menos de 500m / 893727542-127.21679434925626MG4447.JPG / 70 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Amaral Gurgel, Vila Buarque - São Paulo / 470000 /  /  / ","3. Menos de 500m / 893792466-637.36508289654382020.jpg / 65 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Maria Borba, Vila Buarque - São Paulo / 464000 /  /  / ","3. Menos de 500m / 894401577-233.03766664435076132419619of45.jpg / 76 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Marquês de Itu, Vila Buarque - São Paulo / 495000 / Super preço /  / Muitas visitas","3. Menos de 500m / 894555298-836.7482489055338MG7212.JPG / 62 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Santa Isabel, Vila Buarque - São Paulo / 384500 / Super preço / Redução recente / Muitas visitas","4. Menos de 1500m / 892890516-63.62848702344981DSC1285.jpg / 65 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Marquês Itu, Vila Buarque - São Paulo / 500000 / Super preço /  / Muitas visitas","2. Mesma rua / 893477727-25.488010453792455893608375270.054328381538344.jpg / 60 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Doutor Cesário Mota Júnior, Vila Buarque - São Paulo / 500000 /  /  / Muitas visitas","2. Mesma rua / 894368283-437.1666435790793MG0329.JPG / 62 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Doutor Cesário Mota Júnior, Vila Buarque - São Paulo / 439000 / Super preço /  / Muitas visitas"
6486,894876683,32156100,6/12/2025,21:30,220000,241137,,Rua Padre Clemente Segura,08051-040,Limoeiro,São Paulo,-23.5095749,-46.4691832,220000,1,2,0,0,Apartamento,42,,894876683-793.4142322175395IMG4175.jpg,66,0,2,,,,,,894896408,894896395,894034419,894569941,894572885,894676294,894935628,894373164,0,"2. Mesma rua / 894896408-908.72880418008842e10bdd7-92eb-4957-8b40-aa0e7233918c-LEAD3P-bf3589ce-8b82-4daf-9758-66a994441cef.jpg / 42 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Padre Clemente Segura, Limoeiro - São Paulo / 245000 /  /  / ","2. Mesma rua / 894896395-588.228812604749400f94985-cb41-4bfe-955e-7c01889acd40-LEAD3P-bcb38dce-cd43-49fa-b95a-1b5a34aaf954.jpg / 42 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua Padre Clemente Segura, Limoeiro - São Paulo / 245000 /  /  / ","4. Menos de 1500m / 894034419-877.575005624982IMG626422.JPG / 45 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua José Bernardo Cardoso Junior, Limoeiro - São Paulo / 200000 /  /  / ","4. Menos de 1500m / 894569941-721.3689299259007IMG6766.jpg / 47 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Avenida do Imperador, Limoeiro - São Paulo / 250000 /  /  / ","4. Menos de 1500m / 894572885-985.187862231302IMG1056.jpg / 47 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua José Bernardo Cardoso Junior, Limoeiro - São Paulo / 200000 /  /  / ","4. Menos de 1500m / 894676294-858.6500504460813IMG8062.jpg / 48 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua João Batista Calógeras, Limoeiro - São Paulo / 220000 /  /  / ","4. Menos de 1500m / 894935628-219.4386004702652fd0af21c-ffed-459e-ac42-80e0022c390e-LEAD3P-2b4e0b03-0edf-49bf-9698-2b2a91fb9ee9.jpg / 45 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua José Bernardo Cardoso Junior, Limoeiro - São Paulo / 200000 /  /  / ","4. Menos de 1500m / 894373164-541.7111858803514IMG7891.jpg / 48 m² | 2quarto(s) | 1 ban. | 0 vaga(s) / Rua João Batista Calógeras, Limoeiro - São Paulo / 200000 /  /  / ",
32328,894915734,32318818,6/20/2025,14:30,350000,339716,Vanicasa,Rua Marquês Maricá,04252-000,Sacomã,São Paulo,-23.6132425,-46.5983804,368000,1,2,0,1,Apartamento,48,,894915734-472.1342733178856WhatsAppImage20250617at17.30.492.jpeg,34,0,1,6/12/2025,-0.0489,,,,893376850,894728680,894857608,894925870,894948918,894905715,893079699,893713561,893800631,"2. Mesma rua / 893376850-37.715256967265965IMG4311.JPG / 48 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Marquês de Maricá, Sacomã - São Paulo / 385000 /  /  / ","2. Mesma rua / 894728680-456.7093713251531IMG0290.jpg / 49 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Marquês Maricá, Sacomã - São Paulo / 374000 /  /  / Muitas visitas","3. Menos de 500m / 894857608-332.6886742552766IMG20250403123402.jpg / 53 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Marquês Maricá, Sacomã - São Paulo / 375000 /  /  / Muitas visitas","2. Mesma rua / 894925870-950.9123007427421MCD7253.jpg / 46 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Marquês Maricá, Sacomã - São Paulo / 350000 /  /  / ","3. Menos de 500m / 894948918-946.5340047002959166ba399-58a8-491b-b415-003b028b0a9b-LEAD3P-8616ac61-5007-4e46-9804-5b2d183052a5.jpg / 53 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Marquês Maricá, Sacomã - São Paulo / 380000 / Super preço /  / ","2. Mesma rua / 894905715-663.4092172764603fotoQA1.jpg / 49 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Marquês Maricá, Sacomã - São Paulo / 365000 /  / Redução recente / ","3. Menos de 500m / 893079699-363.72705395996576Foto1.JPG / 50 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Alencar Araripe, Sacomã - São Paulo / 320000 /  /  / Muitas visitas","3. Menos de 500m / 893713561-922.997070497017WhatsAppImage20220712at20.00.21.jpeg / 48 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Sousa Coutinho, Sacomã - São Paulo / 400000 /  /  / ","3. Menos de 500m / 893800631-951.0177792645793IMG5610.jpg / 55 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Alencar Araripe, Sacomã - São Paulo / 315000 / Super preço /  / "
32903,893514488,32088005,6/12/2025,21:00,860000,919739,,Rua Alberto de Oliveira,01333-040,Bela Vista,São Paulo,-23.5650497,-46.6461109,1000000,4,2,2,2,Casa,115,234368,893514488-805.8001399424396MG9676.JPG,1245,1,51,8/13/2024,-0.0058,45699,Canceladas em negociação,731000,0,0,0,0,0,0,0,0,0,,,,,,,,,
